Platform,Model,Manufacturer,ModelName
iOS,"iPhone10,4",Apple,"iPhone 8"
iOS,"iPhone10,5",Apple,"iPhone 8 Plus"
iOS,"iPhone10,6",Apple,"iPhone X (GSM)"
iOS,"iPhone11,2",Apple,"iPhone XS"
iOS,"iPhone11,4",Apple,"iPhone XS Max"
iOS,"iPhone11,6",Apple,"iPhone XS Max (Global)"
iOS,"iPhone11,8",Apple,"iPhone XR"
iOS,"iPhone12,1",Apple,"iPhone 11"
iOS,"iPhone12,3",Apple,"iPhone 11 Pro"
iOS,"iPhone12,5",Apple,"iPhone 11 Pro Max"
iOS,"iPhone12,8",Apple,"iPhone SE 2nd Gen"
iOS,"iPhone13,1",Apple,"iPhone 12 Mini"
iOS,"iPhone13,2",Apple,"iPhone 12"
iOS,"iPhone13,3",Apple,"iPhone 12 Pro"
iOS,"iPhone13,4",Apple,"iPhone 12 Pro Max"
iOS,"iPhone14,2",Apple,"iPhone 13 Pro"
iOS,"iPhone14,3",Apple,"iPhone 13 Pro Max"
iOS,"iPhone14,4",Apple,"iPhone 13 Mini"
iOS,"iPhone14,5",Apple,"iPhone 13"
iOS,"iPhone14,6",Apple,"iPhone SE (3rd generation)"
iOS,"iPhone14,7",Apple,"iPhone 14"
iOS,"iPhone14,8",Apple,"iPhone 14 Plus"
iOS,"iPhone15,2",Apple,"iPhone 14 Pro"
iOS,"iPhone15,3",Apple,"iPhone 14 Pro Max"
iOS,"iPhone2,1",Apple,"iPhone 3GS"
iOS,"iPhone3,1",Apple,"iPhone 4"
iOS,"iPhone3,2",Apple,"iPhone 4 GSM Rev A"
iOS,"iPhone3,3",Apple,"iPhone 4 CDMA"
iOS,"iPhone4,1",Apple,"iPhone 4S"
iOS,"iPhone5,1",Apple,"iPhone 5 (GSM)"
iOS,"iPhone5,2",Apple,"iPhone 5 (GSM+CDMA)"
iOS,"iPhone5,3",Apple,"iPhone 5C (GSM)"
iOS,"iPhone5,4",Apple,"iPhone 5C (Global)"
iOS,"iPhone6,1",Apple,"iPhone 5S (GSM)"
iOS,"iPhone6,2",Apple,"iPhone 5S (Global)"
iOS,"iPhone7,1",Apple,"iPhone 6 Plus"
iOS,"iPhone7,2",Apple,"iPhone 6"
iOS,"iPhone8,1",Apple,"iPhone 6s"
iOS,"iPhone8,2",Apple,"iPhone 6s Plus"
iOS,"iPhone8,4",Apple,"iPhone SE (GSM)"
iOS,"iPhone9,1",Apple,"iPhone 7"
iOS,"iPhone9,2",Apple,"iPhone 7 Plus"
iOS,"iPhone9,3",Apple,"iPhone 7"
iOS,"iPhone9,4",Apple,"iPhone 7 Plus"
iOS,"iPod1,1",Apple,"iPod 1st Gen"
iOS,"iPod2,1",Apple,"iPod 2nd Gen"
iOS,"iPod3,1",Apple,"iPod 3rd Gen"
iOS,"iPod4,1",Apple,"iPod 4th Gen"
iOS,"iPod5,1",Apple,"iPod 5th Gen"
iOS,"iPod7,1",Apple,"iPod 6th Gen"
iOS,"iPod9,1",Apple,"iPod 7th Gen"
iOS,"Watch1,1",Apple,"Watch 38mm case"
iOS,"Watch1,2",Apple,"Watch 42mm case"
iOS,"Watch2,3",Apple,"Watch Series 2 38mm case"
iOS,"Watch2,4",Apple,"Watch Series 2 42mm case"
iOS,"Watch2,6",Apple,"Watch Series 1 38mm case"
iOS,"Watch2,7",Apple,"Watch Series 1 42mm case"
iOS,"Watch3,1",Apple,"Watch Series 3 38mm case (GPS+Cellular)"
iOS,"Watch3,2",Apple,"Watch Series 3 42mm case (GPS+Cellular)"
iOS,"Watch3,3",Apple,"Watch Series 3 38mm case (GPS)"
iOS,"Watch3,4",Apple,"Watch Series 3 42mm case (GPS)"
iOS,"Watch4,1",Apple,"Watch Series 4 40mm case (GPS)"
iOS,"Watch4,2",Apple,"Watch Series 4 44mm case (GPS)"
iOS,"Watch4,3",Apple,"Watch Series 4 40mm case (GPS+Cellular)"
iOS,"Watch4,4",Apple,"Watch Series 4 44mm case (GPS+Cellular)"
iOS,"Watch5,1",Apple,"Watch Series 5 40mm case (GPS)"
iOS,"Watch5,10",Apple,"Watch SE 44mm case (GPS)"
iOS,"Watch5,11",Apple,"Watch SE 40mm case (GPS+Cellular)"
iOS,"Watch5,12",Apple,"Watch SE 44mm case (GPS+Cellular)"
iOS,"Watch5,2",Apple,"Watch Series 5 44mm case (GPS)"
iOS,"Watch5,3",Apple,"Watch Series 5 40mm case (GPS+Cellular)"
iOS,"Watch5,4",Apple,"Watch Series 5 44mm case (GPS+Cellular)"
iOS,"Watch5,9",Apple,"Watch SE 40mm case (GPS)"
iOS,"Watch6,1",Apple,"Watch Series 6 40mm case (GPS)"
iOS,"Watch6,10",Apple,"Watch SE 40mm case (GPS)"
iOS,"Watch6,11",Apple,"Watch SE 44mm case (GPS)"
iOS,"Watch6,12",Apple,"Watch SE 40mm case (GPS+Cellular)"
iOS,"Watch6,13",Apple,"Watch SE 44mm case (GPS+Cellular)"
iOS,"Watch6,14",Apple,"Watch Series 8 40mm case (GPS)"
iOS,"Watch6,15",Apple,"Watch Series 8 44mm case (GPS)"
iOS,"Watch6,16",Apple,"Watch Series 8 40mm case (GPS+Cellular)"
iOS,"Watch6,17",Apple,"Watch Series 8 44mm case (GPS+Cellular)"
iOS,"Watch6,18",Apple,"Watch Ultra"
iOS,"Watch6,2",Apple,"Watch Series 6 44mm case (GPS)"
iOS,"Watch6,3",Apple,"Watch Series 6 40mm case (GPS+Cellular)"
iOS,"Watch6,4",Apple,"Watch Series 6 44mm case (GPS+Cellular)"
iOS,"Watch6,6",Apple,"Watch Series 7 41mm case (GPS)"
iOS,"Watch6,7",Apple,"Watch Series 7 45mm case (GPS)"
iOS,"Watch6,8",Apple,"Watch Series 7 41mm case (GPS+Cellular)"
iOS,"Watch6,9",Apple,"Watch Series 7 45mm case (GPS+Cellular)"
iOS,x86_64,Apple,"iPhone Simulator"
